"Company Name","Tradestyle","D-U-N-S® Number","Address Line 1","Address Line 2","Address Line 3","City","State Or Province","Postal Code","Country/Region","Phone","Company Email","Fax","URL","Sales (USD)","Pre Tax Profit (USD)","Assets (USD)","Liabilities (USD)","Employees (Single Site)","Employees (Total)","Business Description","Ownership Type","D&B Legal Status Type","Entity Type","Is Headquarters","Ticker","Parent Company","Parent Country/Region","Global Ultimate Company","Global Ultimate Country/Region","D&B Hoovers Industry","US 8-Digit SIC Code","US 8-Digit SIC Description","US SIC 1987 Code","US SIC 1987 Description","NAICS 2022 Code","NAICS 2022 Description","UK SIC 2007 Code","UK SIC 2007 Description","ISIC Rev 4 Code","ISIC Rev 4 Description","NACE Rev 2 Code","NACE Rev 2 Description","ANZSIC 2006 Code","ANZSIC 2006 Description","TPS Flag","Key ID","Source","Direct Marketing Status"
"State of Minnesota","","064754757","130 State Capitol 75 Rev Dr Mart Blvd","","","Saint Paul","Minnesota","55155-0001","United States","1-651-201-3400","","","http://www.mncourts.gov","5.8479422E10","","1.0575586E11","","53","35217","Offices of chief executives and their advisory and interdepartmental committees and commissions.","Public Sector","Corporation","Parent","true","","State of Minnesota","United States","State of Minnesota","United States","Executive and Legislature","91110203","Governors' office","9111","Executive Offices","921110","Executive Offices","8411","General public administration activities","8411","General public administration activities","8411","General public administration activities","75","Public Administration","false","136443476","D&B","Has Not Opted Out of Direct Marketing"
"General Mills, Inc.","General Mills","006250740","1 General Mills Blvd","","","Minneapolis","Minnesota","55426-1348","United States","1-763-764-7600","","","http://www.generalmills.com","1.9857199E10","3.0283E9","3.14699E10","","1000","34002","General Mills Inc (General Mills) manufactures and markets consumer-based food products. The company’s product portfolio includes ready-to-eat cereals, convenient meals, baking products, pastries, snacks, yogurt, and ice cream. It also provides meal kits, ethnic meals, pizza, soup, side dish mixes, frozen breakfast, and frozen entrees, grain, fruit, and savory snacks, nutrition bars, and frozen hot snacks. The company offers its products under Blue Buffalo, Food Should Taste Good, Fruit Roll-Ups, Blue Basics, Cheerios, Chex, Cocoa Puffs, Cookie Crisp, EPIC, Fiber One, Fruit Gushers, Gardetto's, Go-Gurt, Gold Medal, and Golden Grahams brand names. It operates in Asia, the Middle East, Africa, Europe, North America, and Latin America. General Mills is headquartered in Minneapolis, Minnesota, the US.The company reported revenues of (US Dollars) US$18,992.8 million for the fiscal year ended May 2022 (FY2022), an increase of 4.8% over FY2021. In FY2022, the company’s operating margin was 18.9%, compared to an operating margin of 18.1% in FY2021. In FY2022, the company recorded a net margin of 14.3%, compared to a net margin of 12.9% in FY2021.","Public","Corporation","Parent","true","GIS","General Mills, Inc.","United States","General Mills, Inc.","United States","Food Manufacturing","20990300","Dessert mixes and fillings","2099","Food Preparations, Not Elsewhere Classified","311999","All Other Miscellaneous Food Manufacturing","1089","Manufacture of other food products n.e.c.","1079","Manufacture of other food products n.e.c.","1089","Manufacture of other food products n.e.c.","1199","Other Food Product Manufacturing Not Elsewhere Classified","false","12995","D&B","Has Not Opted Out of Direct Marketing"
"APi Group Corporation","","117489511","1100 Old Highway 8 Nw","","","New Brighton","Minnesota","55112-6447","United States","1-651-636-4320","","","http://www.apigroupinc.com","7.018E9","","8.152E9","","288","29000","Api Group Corporation is primarily engaged in furnishing building cleaning and maintenance services, not elsewhere classified, such as window cleaning, janitorial service, floor waxing, and office cleaning.","Public","Corporation","Parent","true","APG","APi Group Corporation","United States","APi Group Corporation","United States","Building and Dwelling Services","73490000","Building maintenance services, nec","7349","Building Cleaning and Maintenance Services, Not Elsewhere Classified","561720","Janitorial Services","812","Cleaning activities","812","Cleaning activities","8110","Combined facilities support activities","7311","Building and Other Industrial Cleaning Services","false","484872366","D&B","Has Not Opted Out of Direct Marketing"
"Office of The Board of Regents","University of Minnesota","117178941","600 McNamara Alumni Ctr 200 Oak St SE","","","Minneapolis","Minnesota","55455","United States","1-612-624-6608","","","http://twin-cities.umn.edu","3.1080574E9","","","","12","25988","Colleges, universities, and professional schools furnishing academic courses and granting academic degrees. The requirement for admission is at least a high school diploma or equivalent general academic training.","Partnership","Partnership","Parent","true","","Office of The Board of Regents","United States","Office of The Board of Regents","United States","Colleges and Universities","82210102","University","8221","Colleges, Universities, and Professional Schools","611310","Colleges, Universities, and Professional Schools","854","Higher education","853","Higher education","8542","Tertiary education","8102","Higher Education","false","462834807","D&B","Has Not Opted Out of Direct Marketing"
"Fastenal Company","Where Industry Meets Innovation","042653634","2001 Theurer Blvd","","","Winona","Minnesota","55987-9902","United States","1-507-454-5374","","","http://www.fastenal.com","7.546E9","1.5081E9","4.698E9","","1173","23702","Fastenal Co (Fastenal) is a manufacturer of construction equipment. It carries out the wholesale distribution of industrial and construction supplies. The company offers its products under various brands such as Aspect, Agent, Blackstone, Clean Choice, Body Guard, EquipRite, DynaFlo, FNL, FMT, Northway, Power Phase, Regiment, ProFitter, Rock River, Stronghold, Talon and Tritan.   The company classifies its operations into 10 product lines, namely, Safety Supplies, Fasteners, Tools, Janitorial Supplies, Material Handling, Hydraulics and Pneumatics, Cutting Tools, Electrical Supplies, Welding Supplies, and Other.   It operates through a network of 3,306 in-market service centers in 25 countries aided by 15 distribution centers in North America including 12 in the US, two in Canada, and one in Mexico and one distribution center in Europe.","Public","Corporation","Parent","true","FAST","Fastenal Company","United States","Fastenal Company","United States","Machinery Wholesale","50850401","Fasteners, industrial: nuts, bolts, screws, etc.","5085","Industrial Supplies","423840","Industrial Supplies Merchant Wholesalers","4669","Wholesale of other machinery and equipment","4659","Wholesale of other machinery and equipment","4674","Wholesale of hardware, plumbing and heating equipment and supplies","3419","Other Specialised Industrial Machinery and Equipment Wholesaling","false","10923","D&B","Has Not Opted Out of Direct Marketing"
"Solventum Corporation","","119216045","2510 Conway Ave E Bldg 275-6W","","","Maplewood","Minnesota","55119-4111","United States","1-651-733-1110","","","http://solventum.com","8.254E9","6.05E8","1.4457E10","","611","22000","Solventum Corporation is primarily engaged in manufacturing medical, surgical, ophthalmic, and veterinary instruments and apparatus.","Public","Corporation","Parent","true","SOLV","Solventum Corporation","United States","Solventum Corporation","United States","Medical Equipment and Supplies","38410000","Surgical and medical instruments","3841","Surgical and Medical Instruments and Apparatus","339112","Surgical and Medical Instrument Manufacturing","3250","Manufacture of medical and dental instruments and supplies","3250","Manufacture of medical and dental instruments and supplies","3250","Manufacture of medical and dental instruments and supplies","2412","Medical and Surgical Equipment Manufacturing","false","773448873","D&B","Has Not Opted Out of Direct Marketing"
"Goodwill Industries, Inc.","Easter Seal Minnesota, Goodwill Industries, Goodwill-Easter Seals Minnesota, Goodwill/Easter Seals, Easter Seal Society of Minnesota","062823638","553 Fairview Ave N","","","Saint Paul","Minnesota","55104-3080","United States","1-651-379-5800","","","http://www.goodwilleasterseals.org","6.405354300000001E7","","1.8405211E8","","150","22000","Goodwill Industries, Inc. is primarily engaged in providing manpower training and vocational rehabilitation and habilitation services for the unemployed, the underemployed, the handicapped, and to persons who have a job market disadvantage because of lack of education, job skill or experience. Included are upgrading and job development services, skill training, world-of-work orientation, and vocational rehabilitation counseling. This industry includes offices of specialists providing rehabilitation and job counseling. This also includes providing work experience for rehabilitees.","Nonprofit","Corporation","Parent","true","","Goodwill Industries, Inc.","United States","Goodwill Industries, Inc.","United States","Social and Rehabilitation Services","83310100","Job training services","8331","Job Training and Vocational Rehabilitation Services","624310","Vocational Rehabilitation Services","8899","Other social work activities without accommodation n.e.c.","8890","Other social work activities without accommodation","8899","Other social work activities without accommodation n.e.c.","8790","Other Social Assistance Services","false","176921404","D&B","Has Not Opted Out of Direct Marketing"
"HealthPartners, Inc.","VIRTUWELL (HENRICO CO), VIRTUWELL","797053212","8170 33Rd Ave S","","","Bloomington","Minnesota","55425-1614","United States","1-952-883-6000","","","http://www.healthpartners.com","8.8194482E9","","6.935313E9","","1000","22000","Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.","Nonprofit","Corporation","Parent","true","","HealthPartners, Inc.","United States","HealthPartners, Inc.","United States","Physicians and Health Practitioners","80110202","Clinic, operated by physicians","8011","Offices and Clinics of Doctors of Medicine","621111","Offices of Physicians (except Mental Health Specialists)","8621","General medical practice activities","8620","Medical and dental practice activities","8621","General medical practice activities","8511","General Practice Medical Services","false","182733551","D&B","Has Not Opted Out of Direct Marketing"
"Hormel Foods Corporation","Hormel, Hormel Foods","006147383","1 Hormel Pl","","","Austin","Minnesota","55912-3680","United States","1-507-437-5611","","","http://www.hormelfoods.com","1.1920797E10","1.035434E9","1.3434729E10","","650","20000","Hormel Foods Corp (Hormel Foods) is a meat and food processing company. The company primarily offers fresh meats, frozen items, refrigerated meal solutions, sausages, hams, guacamole, and bacon. It also provides canned luncheon meats, shelf-stable microwaveable meals, stews, chilies, hash, flour and corn tortillas, salsas, peanut butter, nutritional food products and supplements, dessert, and drink mixes, and industrial gelatin products. The company sells these products under Always Tender, Hormel, Applegate, Austin Blues, Bacon 1, Black Label, Bread Ready, Cafe H, Chi-Chi’s, and Valley Fresh brand names among others. The company has business presence in the Americas, Asia-Pacific, and Europe. Hormel Foods is headquartered in Austin, Minnesota, the US.The company reported revenues of (US Dollars) US$11,386.2 million for the fiscal year ended October 2021 (FY2021), an increase of 18.5% over FY2020. In FY2021, the company’s operating margin was 9.9%, compared to an operating margin of 11.5% in FY2020. In FY2021, the company recorded a net margin of 8%, compared to a net margin of 9.5% in FY2020.","Public","Corporation","Parent","true","HRL","Hormel Foods Corporation","United States","Hormel Foods Corporation","United States","Food Manufacturing","20110000","Meat packing plants","2011","Meat Packing Plants","311611","Animal (except Poultry) Slaughtering","1011","Processing and preserving of meat","1010","Processing and preserving of meat","101","Processing and preserving of meat and production of meat products","1111","Meat Processing","false","14793","D&B","Has Not Opted Out of Direct Marketing"
"Fairview Health Services","","068199611","1700 University Ave W","","","Saint Paul","Minnesota","55104-3727","United States","1-612-672-6300","","","http://www.fairview.org","7.3116011E9","","4.9115029E9","","600","18000","It's fair to say that when it comes to health care, Fairview Health Services takes the long view. The not-for-profit system serves Minnesota's Twin Cities and nearby communities. Fairview Health is affiliated with the medical school of the University of Minnesota and counts among its 10 hospitals the University of Minnesota Medical Center. The hospitals house more than 2,500 beds and provide comprehensive medical and surgical services. The system also operates primary and specialty care clinics that provide preventive and wellness care. Additionally, it operates retail pharmacies and nursing homes and provides home health care and rehabilitation. Merger talks with University of Minnesota Physicians have stalled.","Private","Corporation","Parent","true","","Fairview Health Services","United States","Fairview Health Services","United States","Hospitals","80620000","General medical and surgical hospitals","8062","General Medical and Surgical Hospitals","622110","General Medical and Surgical Hospitals","86101","Hospital activities","8610","Hospital activities","8610","Hospital activities","8401","Hospitals (Except Psychiatric Hospitals)","false","43278792","D&B","Has Not Opted Out of Direct Marketing"
"Polaris Inc.","Polaris, RANGER, RZR, GENERAL, Other Styles - See Operations","051691673","2100 Highway 55","","","Medina","Minnesota","55340-9100","United States","1-763-542-0500","","","http://www.polaris.com","7.1753999E9","1.408E8","5.5251997E9","","1328","15000","Polaris Inc (Polaris), formerly Polaris Industries Inc is a manufacturer of automobiles. The company specializes in designing, engineering and producing off-road vehicles (ORV), which include all-terrain vehicles (ATV) and side-by-side vehicles for recreational and utility use, motorcycles, small vehicles (SV) and snowmobiles. The product portfolio of the company includes side by side vehicles, all-terrain vehicles, snowmobiles, commercial utility vehicles and personal quadricycles. The company also provides related replacement parts, garments and accessories (PG&A). Its services include financing, insurance services and extended service contracts. The company has operations in the UK, Germany, Australia, Sweden, France, Canada, Brazil, Mexico, China, India and Norway. Polaris is headquartered in Medina, Minnesota, the USThe company reported revenues of (US Dollars) US$8,198.2 million for the fiscal year ended December 2021 (FY2021), an increase of 16.7% over FY2020. In FY2021, the company’s operating margin was 8.1%, compared to an operating margin of 3% in FY2020. In FY2021, the company recorded a net margin of 6%, compared to a net margin of 1.8% in FY2020. The company reported revenues of US$2,062.8 million for the second quarter ended June 2022, an increase of 15.8% over the previous quarter.","Public","Corporation","Parent","true","PII","Polaris Inc.","United States","Polaris Inc.","United States","Miscellaneous Transportation Equipment Manufacturing","37990201","All terrain vehicles (ATV)","3799","Transportation Equipment, Not Elsewhere Classified","336999","All Other Transportation Equipment Manufacturing","3099","Manufacture of other transport equipment n.e.c.","3099","Manufacture of other transport equipment n.e.c.","2910","Manufacture of motor vehicles","2399","Other Transport Equipment Manufacturing Not Elsewhere Classified","false","23196","D&B","Has Not Opted Out of Direct Marketing"
"Essentia Health","","619042760","502 E 2Nd St","","","Duluth","Minnesota","55805-1913","United States","1-218-786-8376","","","http://www.essentiahealth.org","3.4820911E8","","7.2317358E8","","1500","14700","Access to rural health care is of the essence for Essentia Health. The integrated health system has a network of 17 hospitals, about 70 clinics, more than a dozen long-term care, assisted living, or independent living facilities, and a research institute. Its service area spans rural communities in the Midwest and part of the western region, with locations in Minnesota, southeastern North Dakota, northeastern Wisconsin, and Idaho. Among its hospitals are Clearwater Valley in Orofino, Idaho; St. Mary's in Cottonwood, Idaho; and Catholic facility Holy Trinity Hospital in Graceville, Minnesota. The system also provides ambulance services.","Nonprofit","Corporation","Parent","true","","Essentia Health","United States","Essentia Health","United States","Administrative Services","87419906","Hospital management","8741","Management Services","561110","Office Administrative Services","7022","Business and other management consultancy activities","7020","Management consultancy activities","8211","Combined office administrative service activities","696","Management and Related Consulting Services","false","89076779","D&B","Has Not Opted Out of Direct Marketing"
"Donaldson Company, Inc.","Donaldson Filtration Solutions","006477301","1400 W 94Th St","","","Minneapolis","Minnesota","55431-2370","United States","1-952-887-3131","","","http://www.donaldson.com","3.5862998E9","5.3529999999999994E8","2.9142998E9","","1200","14000","Donaldson Co Inc (Donaldson) manufactures filtration systems and replacement parts. The company designs, manufactures and sells engine and industrial products. It offers exhaust and emission systems; liquid filtration systems; air filtration systems; dust, fume, and mist collectors; replacement filters; air filtration systems and air purification systems. Donaldson products find application in gas turbines, computer hard disks drives and semiconductor manufacturing. It also offers its products to OEM’s in agriculture, aerospace, construction, defense, mining and truck markets. Donaldson has operations in North America, Asia, Africa and Europe. The company markets its products through original equipment manufacturers, distributors and dealers. Donaldson is headquartered in Minneapolis, Minnesota, the US.The company reported revenues of (US Dollars) US$3,306.6 million for the fiscal year ended July 2022 (FY2022), an increase of 15.9% over FY2021. The operating profit of the company was US$443.5 million in FY2022, compared to an operating profit of US$384.7 million in FY2021. The net profit of the company was US$332.8 million in FY2022, compared to a net profit of US$286.9 million in FY2021.","Public","Corporation","Parent","true","DCI","Donaldson Company, Inc.","United States","Donaldson Company, Inc.","United States","Metal Products Manufacturing","35999901","Air intake filters, internal combustion engine, except auto","3599","Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified","336390","Other Motor Vehicle Parts Manufacturing","2829","Manufacture of other general-purpose machinery n.e.c.","2819","Manufacture of other general-purpose machinery","2829","Manufacture of other general-purpose machinery n.e.c.","2499","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","false","9351","D&B","Has Not Opted Out of Direct Marketing"
